datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-09-13,154,41,9,132,46,13,2,0,0,0,0,0,2
2020-09-14,260,65,13,358,88,78,3,1,4,5,9,5,6
2020-09-15,283,52,22,403,103,71,10,1,5,13,185,36,13
2020-09-16,284,66,24,465,78,104,11,2,12,22,524,328,11
2020-09-17,265,70,13,331,65,41,5,3,5,14,183,207,21
2020-09-18,266,55,19,407,71,77,3,0,6,31,604,471,6
2020-09-19,148,47,12,102,35,17,4,0,0,0,0,0,0
2020-09-20,132,41,12,77,41,14,4,0,0,0,0,0,0
2020-09-21,228,69,10,294,59,49,0,2,3,4,93,15,0
2020-09-22,225,55,18,254,72,42,7,2,2,5,94,4,3
2020-09-23,227,78,19,257,54,62,5,0,2,3,17,0,10
2020-09-24,212,64,16,276,62,68,3,2,5,5,107,96,5
2020-09-25,244,64,18,284,81,40,7,1,3,15,91,20,7
2020-09-26,154,59,18,94,36,22,0,0,0,0,0,0,0
2020-09-27,125,44,20,71,34,11,3,0,0,0,0,0,0
2020-09-28,224,61,15,352,62,84,7,2,8,23,434,213,6
2020-09-29,240,55,26,401,126,84,4,0,0,0,0,0,3
2020-09-30,247,61,39,400,92,108,5,1,1,2,7,7,8
2020-10-01,269,63,48,411,64,87,17,2,6,10,112,367,2
2020-10-02,221,61,30,308,61,42,8,3,3,5,6,6,3
2020-10-03,158,60,13,150,32,42,9,8,2,5,10,2,2
2020-10-04,150,55,20,83,30,7,4,1,0,0,0,0,2
2020-10-05,217,71,22,280,51,66,12,3,8,9,15,14,26
2020-10-06,194,58,18,235,63,68,7,5,7,50,830,379,13
2020-10-07,198,67,16,293,55,64,5,1,5,8,105,64,5
2020-10-08,210,62,17,305,69,58,5,6,3,9,75,2,4
2020-10-09,269,67,25,326,67,67,10,3,6,15,477,42,0
2020-10-10,179,52,25,133,41,22,2,1,0,0,0,0,9
2020-10-11,150,54,12,87,28,7,0,1,0,0,0,0,0
2020-10-12,221,61,20,340,46,102,3,1,3,4,156,108,7
2020-10-13,233,58,18,304,69,87,3,0,4,14,94,61,4
2020-10-14,232,59,27,288,59,93,5,3,5,11,746,122,5
2020-10-15,240,80,25,257,64,64,4,2,1,1,9,9,1
2020-10-16,243,76,12,270,71,54,5,3,4,6,84,53,5
2020-10-17,143,65,14,82,33,19,1,0,0,0,0,0,1
2020-10-18,138,56,13,94,34,13,0,0,0,0,0,0,0
2020-10-19,202,66,13,292,49,82,3,0,5,7,54,10,1
2020-10-20,231,53,19,362,83,125,5,0,3,55,589,181,4
2020-10-21,238,79,29,272,67,65,5,1,2,22,860,406,8
2020-10-22,212,55,19,288,73,80,4,1,3,6,128,75,2
2020-10-23,212,49,22,317,69,64,5,1,5,21,294,109,4
2020-10-24,105,47,8,60,32,12,7,3,1,1,15,13,1
2020-10-25,116,45,12,63,26,8,0,0,1,1,27,14,0
2020-10-26,220,56,21,394,82,113,8,0,9,85,1430,283,18
2020-10-27,232,60,19,352,111,85,5,3,3,4,10,41,5
2020-10-28,248,64,15,382,84,131,4,0,2,2,3,3,0
2020-10-29,229,66,13,419,72,88,3,0,2,5,49,29,9
2020-10-30,199,51,11,313,50,104,8,0,5,9,50,51,9
2020-10-31,117,45,15,79,26,21,1,0,0,0,0,0,0
2020-11-01,101,39,15,52,24,16,0,1,0,0,0,0,0
2020-11-02,196,52,15,543,41,293,7,4,8,24,2858,913,6
2020-11-03,243,64,19,496,64,200,8,1,4,5,53,15,10
2020-11-04,227,55,27,546,41,215,7,4,9,35,1309,795,18
2020-11-05,268,60,20,762,51,334,4,24,11,30,359,120,27
2020-11-06,269,79,20,456,63,192,8,7,6,12,90,59,3
2020-11-07,162,61,8,128,42,35,0,1,1,1,0,1,5
2020-11-08,134,48,16,100,30,20,2,1,0,0,0,0,0
2020-11-09,250,64,21,564,71,211,8,6,14,30,374,76,15
2020-11-10,275,64,22,440,79,132,6,6,19,76,1807,705,13
2020-11-11,266,56,22,478,76,205,6,3,3,6,62,22,18
2020-11-12,275,79,23,417,85,143,7,2,10,30,550,233,21
2020-11-13,244,66,20,337,66,107,9,3,6,9,182,66,12
2020-11-14,161,62,12,124,40,36,2,0,0,0,0,0,0
2020-11-15,150,50,14,95,38,33,1,0,0,0,0,0,0
2020-11-16,230,65,14,366,67,118,9,4,6,17,434,336,5
2020-11-17,214,63,19,275,61,58,5,3,5,14,286,88,8
