datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-07-28,219,62,21,210,41,23,11,2,10,24,580,83,47
2020-07-29,233,74,26,275,27,22,9,11,13,57,393,306,61
2020-07-30,212,59,18,210,26,21,8,2,11,73,768,420,25
2020-07-31,187,52,28,185,19,24,16,3,8,28,763,86,41
2020-08-01,119,39,21,55,26,5,5,1,0,0,0,0,3
2020-08-02,98,25,23,56,10,1,2,0,1,1,2,1,2
2020-08-03,204,61,27,243,19,16,5,5,5,57,1205,513,39
2020-08-04,217,50,25,232,21,23,13,3,10,20,285,25,60
2020-08-05,213,53,30,233,21,22,11,1,5,26,451,79,39
2020-08-06,217,50,24,284,20,25,8,6,8,19,1389,823,70
2020-08-07,191,42,24,194,22,23,10,6,11,78,1894,64,39
2020-08-08,111,39,13,55,12,3,3,1,1,1,1,1,8
2020-08-09,119,48,19,86,13,12,2,1,1,2,5,4,1
2020-08-10,193,58,17,239,29,41,8,1,5,10,434,147,32
2020-08-11,213,55,28,254,30,26,9,2,10,31,525,171,42
2020-08-12,194,52,23,186,31,26,11,2,8,77,760,195,20
2020-08-13,222,59,21,228,36,14,17,5,5,25,377,105,55
2020-08-14,190,54,24,162,31,27,6,2,4,10,72,12,21
2020-08-15,107,38,20,59,17,6,2,0,3,7,1584,11,3
2020-08-16,96,29,17,58,11,6,8,1,0,0,0,0,2
2020-08-17,188,41,25,226,22,30,4,2,5,12,204,16,26
2020-08-18,188,49,16,210,22,25,12,5,8,20,461,82,25
2020-08-19,184,43,28,208,20,15,6,4,8,20,399,223,34
2020-08-20,189,45,23,165,21,16,11,3,13,37,579,222,32
2020-08-21,90,22,9,65,7,4,9,0,4,4,8,8,10
2020-08-23,29,8,4,24,3,2,0,0,0,0,0,0,0
2020-08-24,174,34,21,225,25,24,10,1,7,80,2463,157,14
2020-08-25,206,57,26,237,16,32,11,4,7,34,546,186,13
2020-08-26,197,59,20,173,17,14,8,6,5,21,305,43,16
2020-08-27,207,46,21,221,14,26,10,3,16,26,473,177,45
2020-08-28,170,33,16,210,26,21,12,3,6,24,532,50,13
2020-08-29,113,32,12,71,47,7,5,0,1,3,190,28,2
2020-08-30,84,32,13,48,4,3,2,0,2,13,309,28,4
2020-08-31,164,41,13,195,21,17,14,3,9,31,937,161,24
2020-09-01,166,38,24,189,19,23,6,4,11,49,1496,52,31
2020-09-02,186,46,21,221,27,21,8,1,8,30,597,424,19
2020-09-03,185,38,15,200,26,20,5,0,13,58,2332,832,16
2020-09-04,148,33,16,191,22,21,11,3,0,0,0,0,5
2020-09-05,108,49,14,70,15,8,1,1,0,0,0,0,0
2020-09-06,102,39,14,76,14,7,1,0,1,1,2,0,0
2020-09-07,149,34,21,216,18,15,8,2,0,0,0,0,7
2020-09-08,187,51,19,291,17,25,10,3,3,4,32,15,12
2020-09-09,184,45,19,218,22,31,8,4,11,32,173,158,43
2020-09-10,193,42,18,236,26,32,10,4,6,37,1427,243,16
2020-09-11,207,49,21,240,23,21,14,2,16,54,2058,864,42
2020-09-12,99,27,12,93,10,10,5,1,4,9,167,86,4
2020-09-13,88,37,11,77,10,8,3,1,0,0,0,0,0
2020-09-14,173,40,23,293,16,34,17,1,9,16,836,960,26
2020-09-15,184,52,23,228,19,23,7,4,7,13,84,68,14
2020-09-16,177,47,19,196,19,23,11,3,11,18,864,215,33
2020-09-17,185,45,27,214,19,16,20,0,23,63,3470,439,13
2020-09-18,160,48,16,162,21,20,10,0,25,55,1017,424,12
2020-09-19,88,28,17,64,9,6,7,0,0,0,0,0,4
2020-09-20,99,36,17,50,16,4,17,0,18,105,3150,235,0
2020-09-21,159,45,15,222,13,21,22,1,13,35,622,10,17
2020-09-22,180,54,19,221,21,29,12,0,16,28,1433,684,25
2020-09-23,204,51,25,266,27,16,15,6,7,16,1394,31,17
2020-09-24,171,52,22,146,26,15,9,1,9,25,289,99,45
2020-09-25,170,38,23,231,17,24,8,2,14,32,872,354,16
2020-09-26,90,32,13,51,12,7,5,0,4,11,158,114,1
2020-09-27,94,37,12,50,13,5,2,2,1,1,12,7,4
2020-09-28,184,40,25,287,18,31,10,1,5,9,202,34,24
2020-09-29,176,41,23,216,18,26,3,2,5,16,262,151,31
2020-09-30,177,43,26,222,21,23,11,2,2,3,170,51,35
2020-10-01,140,37,17,144,16,10,8,0,14,36,1033,339,20
2020-10-02,134,26,16,149,20,26,14,7,4,8,369,62,2
2020-10-03,76,21,14,53,10,7,4,1,0,0,0,0,18
2020-10-04,81,25,19,49,13,4,1,0,0,0,0,0,4
2020-10-05,162,32,28,247,15,22,11,3,8,18,655,35,20
2020-10-06,179,36,26,242,20,21,8,4,7,45,643,136,43
2020-10-07,148,33,18,169,16,12,10,0,7,15,433,317,7
2020-10-08,157,39,21,148,27,12,15,3,11,25,767,333,32
2020-10-09,158,49,22,166,15,22,4,5,8,14,465,83,72
2020-10-10,111,40,18,52,8,5,5,2,0,0,0,0,24
2020-10-11,73,33,13,31,11,3,1,0,0,0,0,0,2
2020-10-12,162,40,18,190,13,29,4,1,2,7,285,284,2
2020-10-13,178,40,23,172,15,15,10,4,5,10,214,257,54
2020-10-14,191,57,27,191,29,19,7,2,5,6,238,15,30
2020-10-15,196,49,20,163,29,18,7,2,6,30,2934,329,44
2020-10-16,187,44,15,198,26,15,15,3,9,37,954,452,39
2020-10-17,83,32,12,41,12,10,3,0,5,10,28,21,7
2020-10-18,87,33,22,33,7,7,1,3,0,0,0,0,6
2020-10-19,184,42,28,188,18,20,9,3,8,51,530,131,58
2020-10-20,183,44,30,186,15,17,9,4,7,9,331,219,17
2020-10-21,172,46,15,184,21,11,5,0,7,10,366,277,13
2020-10-22,173,37,24,161,18,20,9,3,7,12,110,143,32
2020-10-23,150,37,11,137,22,23,8,1,10,32,395,227,13
2020-10-24,92,30,14,52,16,9,4,1,4,7,54,843,6
2020-10-25,83,24,17,67,10,4,6,2,1,1,10,10,0
2020-10-26,179,56,27,168,20,11,6,4,8,19,545,200,13
2020-10-27,187,44,20,227,20,23,9,4,8,9,262,71,27
2020-10-28,162,41,15,179,24,24,17,7,13,26,597,160,20
2020-10-29,190,59,20,173,24,19,19,9,8,11,540,272,20
2020-10-30,158,43,17,147,13,16,7,1,9,18,861,311,33
2020-10-31,101,43,17,41,8,6,8,0,0,0,0,0,13
2020-11-01,83,28,11,39,12,2,7,1,1,6,167,141,0
2020-11-02,166,40,17,223,16,27,6,5,7,10,203,106,26
2020-11-03,193,44,25,220,31,22,8,3,6,10,185,83,62
2020-11-04,163,40,12,150,25,11,7,2,1,1,15,16,29
2020-11-05,197,41,25,239,26,30,12,3,9,23,951,355,36
2020-11-06,161,41,15,132,16,15,11,1,14,39,980,1006,4
2020-11-07,90,27,15,52,9,5,3,1,5,6,119,46,6
2020-11-08,66,24,13,40,11,5,2,0,0,0,0,0,2
2020-11-09,169,41,20,167,19,17,2,0,3,5,387,33,12
2020-11-10,195,52,27,197,18,28,14,4,5,10,1775,209,33
2020-11-11,196,49,24,208,29,17,12,4,10,15,309,248,12
2020-11-12,200,49,19,213,19,18,7,4,7,22,3144,312,16
2020-11-13,162,33,17,193,27,16,20,4,18,37,977,573,19
2020-11-14,100,30,13,101,13,10,2,1,3,4,78,12,2
2020-11-15,87,31,9,68,7,5,1,0,0,0,0,0,1
2020-11-16,190,47,18,207,24,23,7,2,3,6,92,12,16
2020-11-17,223,54,15,266,23,18,18,3,7,11,86,51,37
2020-11-18,234,47,24,270,30,22,7,0,7,10,92,36,30
2020-11-19,194,51,20,230,19,17,8,5,5,24,723,94,11
2020-11-20,247,124,30,168,16,16,13,0,4,12,158,47,6
2020-11-21,215,135,31,78,14,8,4,0,1,12,185,81,5
2020-11-22,207,157,14,52,9,3,3,0,0,0,0,0,0
2020-11-23,252,104,27,222,27,13,17,5,15,28,278,101,28
2020-11-24,192,52,20,217,22,22,11,6,9,17,644,200,19
2020-11-25,194,42,28,176,22,11,6,4,6,8,396,267,25
